fetched_at_cst,updated_at_cst,land,ride_id,ride,is_open,wait_time
2026-09-21 12:25,2026-09-21 12:22,Zootopia,13819,Zootopia Hot Pursuit Single Rider,1,0
2026-09-21 12:25,2026-09-21 12:22,Zootopia,12392,Zootopia: Hot Pursuit,1,30
2026-09-21 12:30,2026-09-21 12:27,Adventure Isle,3893,Challenge Trails at Camp Discovery,1,5
2026-09-21 12:30,2026-09-21 12:27,Adventure Isle,16370,Junior Explorers Camp,1,5
2026-09-21 12:30,2026-09-21 12:27,Adventure Isle,2986,Roaring Rapids,1,10
2026-09-21 12:30,2026-09-21 12:27,Adventure Isle,3002,Soaring Over the Horizon,1,25
2026-09-21 12:30,2026-09-21 12:27,Adventure Isle,3901,Vista Trail at Camp Discovery,1,0
2026-09-21 12:30,2026-09-21 12:27,Fantasyland,3080,“Once Upon a Time” Adventure,1,5
2026-09-21 12:30,2026-09-21 12:27,Fantasyland,2987,Alice in Wonderland Maze,1,5
2026-09-21 12:30,2026-09-21 12:27,Fantasyland,2988,Hunny Pot Spin,1,5
2026-09-21 12:30,2026-09-21 12:27,Fantasyland,2989,Peter Pan’s Flight,1,5
2026-09-21 12:30,2026-09-21 12:27,Fantasyland,2990,Seven Dwarfs Mine Train,1,50
2026-09-21 12:30,2026-09-21 12:27,Fantasyland,13818,Seven Dwarfs Mine Train Single Rider,1,0
2026-09-21 12:30,2026-09-21 12:27,Fantasyland,2991,The Many Adventures of Winnie the Pooh,1,25
2026-09-21 12:30,2026-09-21 12:27,Fantasyland,2992,Voyage to the Crystal Grotto,0,0
2026-09-21 12:30,2026-09-21 12:27,Gardens of Imagination,3896,Become Iron Man at the Marvel Universe,1,5
2026-09-21 12:30,2026-09-21 12:27,Gardens of Imagination,2993,Dumbo the Flying Elephant,1,5
2026-09-21 12:30,2026-09-21 12:27,Gardens of Imagination,2994,Fantasia Carousel,1,5
2026-09-21 12:30,2026-09-21 12:27,Gardens of Imagination,3082,Marvel Universe,1,0
2026-09-21 12:30,2026-09-21 12:27,Tomorrowland,2999,Buzz Lightyear Planet Rescue,1,5
2026-09-21 12:30,2026-09-21 12:27,Tomorrowland,3000,Jet Packs,1,10
2026-09-21 12:30,2026-09-21 12:27,Tomorrowland,16392,Pixar Adventurous Journey,1,5
2026-09-21 12:30,2026-09-21 12:27,Tomorrowland,3001,Space Chat With Stitch,1,15
2026-09-21 12:30,2026-09-21 12:27,Tomorrowland,2985,TRON Lightcycle Power Run – Presented by Chevrolet,1,50
2026-09-21 12:30,2026-09-21 12:27,Tomorrowland,4076,"TRON Realm, Chevrolet Digital Challenge",1,0
2026-09-21 12:30,2026-09-21 12:27,Toy Story Land,5633,Rex’s Racer,1,30
2026-09-21 12:30,2026-09-21 12:27,Toy Story Land,5634,Slinky Dog Spin,1,10
2026-09-21 12:30,2026-09-21 12:27,Toy Story Land,5635,Woody’s Roundup,1,10
2026-09-21 12:30,2026-09-21 12:27,Treasure Cove,2995,Explorer Canoes,0,0
2026-09-21 12:30,2026-09-21 12:27,Treasure Cove,2996,Pirates of the Caribbean Battle for the Sunken Treasure,1,10
2026-09-21 12:30,2026-09-21 12:27,Treasure Cove,2997,Shipwreck Shore,1,5
2026-09-21 12:30,2026-09-21 12:27,Treasure Cove,2998,Siren's Revenge,1,5
2026-09-21 12:30,2026-09-21 12:27,Zootopia,13819,Zootopia Hot Pursuit Single Rider,1,0
2026-09-21 12:30,2026-09-21 12:27,Zootopia,12392,Zootopia: Hot Pursuit,1,30
2026-09-21 12:35,2026-09-21 12:32,Adventure Isle,3893,Challenge Trails at Camp Discovery,1,5
2026-09-21 12:35,2026-09-21 12:32,Adventure Isle,16370,Junior Explorers Camp,1,5
2026-09-21 12:35,2026-09-21 12:32,Adventure Isle,2986,Roaring Rapids,1,10
2026-09-21 12:35,2026-09-21 12:32,Adventure Isle,3002,Soaring Over the Horizon,1,25
2026-09-21 12:35,2026-09-21 12:32,Adventure Isle,3901,Vista Trail at Camp Discovery,1,0
2026-09-21 12:35,2026-09-21 12:32,Fantasyland,3080,“Once Upon a Time” Adventure,1,5
2026-09-21 12:35,2026-09-21 12:32,Fantasyland,2987,Alice in Wonderland Maze,1,5
2026-09-21 12:35,2026-09-21 12:32,Fantasyland,2988,Hunny Pot Spin,1,5
2026-09-21 12:35,2026-09-21 12:32,Fantasyland,2989,Peter Pan’s Flight,1,5
2026-09-21 12:35,2026-09-21 12:32,Fantasyland,2990,Seven Dwarfs Mine Train,1,50
2026-09-21 12:35,2026-09-21 12:32,Fantasyland,13818,Seven Dwarfs Mine Train Single Rider,1,0
2026-09-21 12:35,2026-09-21 12:32,Fantasyland,2991,The Many Adventures of Winnie the Pooh,1,25
2026-09-21 12:35,2026-09-21 12:32,Fantasyland,2992,Voyage to the Crystal Grotto,0,0
2026-09-21 12:35,2026-09-21 12:32,Gardens of Imagination,3896,Become Iron Man at the Marvel Universe,1,5
2026-09-21 12:35,2026-09-21 12:32,Gardens of Imagination,2993,Dumbo the Flying Elephant,1,5
2026-09-21 12:35,2026-09-21 12:32,Gardens of Imagination,2994,Fantasia Carousel,1,5
2026-09-21 12:35,2026-09-21 12:32,Gardens of Imagination,3082,Marvel Universe,1,0
2026-09-21 12:35,2026-09-21 12:32,Tomorrowland,2999,Buzz Lightyear Planet Rescue,1,5
2026-09-21 12:35,2026-09-21 12:32,Tomorrowland,3000,Jet Packs,1,5
2026-09-21 12:35,2026-09-21 12:32,Tomorrowland,16392,Pixar Adventurous Journey,1,5
2026-09-21 12:35,2026-09-21 12:32,Tomorrowland,3001,Space Chat With Stitch,1,15
2026-09-21 12:35,2026-09-21 12:32,Tomorrowland,2985,TRON Lightcycle Power Run – Presented by Chevrolet,1,40
2026-09-21 12:35,2026-09-21 12:32,Tomorrowland,4076,"TRON Realm, Chevrolet Digital Challenge",1,0
2026-09-21 12:35,2026-09-21 12:32,Toy Story Land,5633,Rex’s Racer,1,30
2026-09-21 12:35,2026-09-21 12:32,Toy Story Land,5634,Slinky Dog Spin,1,10
2026-09-21 12:35,2026-09-21 12:32,Toy Story Land,5635,Woody’s Roundup,1,10
2026-09-21 12:35,2026-09-21 12:32,Treasure Cove,2995,Explorer Canoes,0,0
2026-09-21 12:35,2026-09-21 12:32,Treasure Cove,2996,Pirates of the Caribbean Battle for the Sunken Treasure,1,10
2026-09-21 12:35,2026-09-21 12:32,Treasure Cove,2997,Shipwreck Shore,1,5
2026-09-21 12:35,2026-09-21 12:32,Treasure Cove,2998,Siren's Revenge,1,5
2026-09-21 12:35,2026-09-21 12:32,Zootopia,13819,Zootopia Hot Pursuit Single Rider,1,0
2026-09-21 12:35,2026-09-21 12:32,Zootopia,12392,Zootopia: Hot Pursuit,1,25
2026-09-21 12:40,2026-09-21 12:37,Adventure Isle,3893,Challenge Trails at Camp Discovery,1,5
2026-09-21 12:40,2026-09-21 12:37,Adventure Isle,16370,Junior Explorers Camp,1,5
2026-09-21 12:40,2026-09-21 12:37,Adventure Isle,2986,Roaring Rapids,1,10
2026-09-21 12:40,2026-09-21 12:37,Adventure Isle,3002,Soaring Over the Horizon,1,25
2026-09-21 12:40,2026-09-21 12:37,Adventure Isle,3901,Vista Trail at Camp Discovery,1,0
2026-09-21 12:40,2026-09-21 12:37,Fantasyland,3080,“Once Upon a Time” Adventure,1,5
2026-09-21 12:40,2026-09-21 12:37,Fantasyland,2987,Alice in Wonderland Maze,1,5
2026-09-21 12:40,2026-09-21 12:37,Fantasyland,2988,Hunny Pot Spin,1,5
2026-09-21 12:40,2026-09-21 12:37,Fantasyland,2989,Peter Pan’s Flight,1,5
2026-09-21 12:40,2026-09-21 12:37,Fantasyland,2990,Seven Dwarfs Mine Train,1,50
2026-09-21 12:40,2026-09-21 12:37,Fantasyland,13818,Seven Dwarfs Mine Train Single Rider,1,0
2026-09-21 12:40,2026-09-21 12:37,Fantasyland,2991,The Many Adventures of Winnie the Pooh,1,25
2026-09-21 12:40,2026-09-21 12:37,Fantasyland,2992,Voyage to the Crystal Grotto,0,0
2026-09-21 12:40,2026-09-21 12:37,Gardens of Imagination,3896,Become Iron Man at the Marvel Universe,1,5
2026-09-21 12:40,2026-09-21 12:37,Gardens of Imagination,2993,Dumbo the Flying Elephant,1,5
2026-09-21 12:40,2026-09-21 12:37,Gardens of Imagination,2994,Fantasia Carousel,1,5
2026-09-21 12:40,2026-09-21 12:37,Gardens of Imagination,3082,Marvel Universe,1,0
2026-09-21 12:40,2026-09-21 12:37,Tomorrowland,2999,Buzz Lightyear Planet Rescue,1,5
2026-09-21 12:40,2026-09-21 12:37,Tomorrowland,3000,Jet Packs,1,5
2026-09-21 12:40,2026-09-21 12:37,Tomorrowland,16392,Pixar Adventurous Journey,1,5
2026-09-21 12:40,2026-09-21 12:37,Tomorrowland,3001,Space Chat With Stitch,1,15
2026-09-21 12:40,2026-09-21 12:37,Tomorrowland,2985,TRON Lightcycle Power Run – Presented by Chevrolet,1,50
2026-09-21 12:40,2026-09-21 12:37,Tomorrowland,4076,"TRON Realm, Chevrolet Digital Challenge",1,0
2026-09-21 12:40,2026-09-21 12:37,Toy Story Land,5633,Rex’s Racer,1,30
2026-09-21 12:40,2026-09-21 12:37,Toy Story Land,5634,Slinky Dog Spin,1,10
2026-09-21 12:40,2026-09-21 12:37,Toy Story Land,5635,Woody’s Roundup,1,10
2026-09-21 12:40,2026-09-21 12:37,Treasure Cove,2995,Explorer Canoes,0,0
2026-09-21 12:40,2026-09-21 12:37,Treasure Cove,2996,Pirates of the Caribbean Battle for the Sunken Treasure,1,10
2026-09-21 12:40,2026-09-21 12:37,Treasure Cove,2997,Shipwreck Shore,1,5
2026-09-21 12:40,2026-09-21 12:37,Treasure Cove,2998,Siren's Revenge,1,5
2026-09-21 12:40,2026-09-21 12:37,Zootopia,13819,Zootopia Hot Pursuit Single Rider,1,0
2026-09-21 12:40,2026-09-21 12:37,Zootopia,12392,Zootopia: Hot Pursuit,1,25
